id,direct_fixed,eff_year,award_id,total_funding
"('Directorate for Education & Human Resources', 1978)",Directorate for Education & Human Resources,1978,100,10891872
"('Directorate for Education & Human Resources', 1979)",Directorate for Education & Human Resources,1979,58,8164310
"('Directorate for Education & Human Resources', 1980)",Directorate for Education & Human Resources,1980,28,14637475
"('Directorate for Education & Human Resources', 1981)",Directorate for Education & Human Resources,1981,28,2748401
"('Directorate for Education & Human Resources', 1982)",Directorate for Education & Human Resources,1982,244,18131204
"('Directorate for Education & Human Resources', 1983)",Directorate for Education & Human Resources,1983,302,27679950
"('Directorate for Education & Human Resources', 1984)",Directorate for Education & Human Resources,1984,482,77991538
"('Directorate for Education & Human Resources', 1985)",Directorate for Education & Human Resources,1985,864,122064694
"('Directorate for Education & Human Resources', 1986)",Directorate for Education & Human Resources,1986,781,127190049
"('Directorate for Education & Human Resources', 1987)",Directorate for Education & Human Resources,1987,914,142099462
"('Directorate for Education & Human Resources', 1988)",Directorate for Education & Human Resources,1988,1146,205434231
"('Directorate for Education & Human Resources', 1989)",Directorate for Education & Human Resources,1989,1225,235931057
"('Directorate for Education & Human Resources', 1990)",Directorate for Education & Human Resources,1990,1355,247222084
"('Directorate for Education & Human Resources', 1991)",Directorate for Education & Human Resources,1991,1840,506819573
